"Please enter owner.","Please enter owner."
"Enter additional information for the payment.","Enter additional information for the payment."
"HP_SUCCESS_PREPAID","Your transaction was successfull! 

            Transfer the amount of {CURRENCY} {AMOUNT} to the following account
            Country :         {ACC_COUNTRY}
            Account holder :  {ACC_OWNER}
            Account No. :     {ACC_NUMBER}
            Bank Code:        {ACC_BANKCODE}
            IBAN:             {ACC_IBAN} 
            BIC:              {ACC_BIC}
            When you transfer the money you HAVE TO use the identification number
        {SHORTID}
        as the descriptor and nothing else. Otherwise we cannot match your transaction!"
"HP_SUCCESS_INVOICE","Your transaction was successfull! 

            Transfer the amount of {CURRENCY} {AMOUNT} to the following account
            Country :         {ACC_COUNTRY}
            Account holder :  {ACC_OWNER}
            Account No. :     {ACC_NUMBER}
            Bank Code:        {ACC_BANKCODE}
            IBAN:             {ACC_IBAN} 
            BIC:              {ACC_BIC}
            When you transfer the money you HAVE TO use the identification number
        {SHORTID}
        as the descriptor and nothing else. Otherwise we cannot match your transaction!"

"HP_SUCCESS_BILLSAFE","Your transaction was successfull! 

            Transfer the amount of {CURRENCY} {AMOUNT} to the following account
            Bank Name:        {ACC_BANKNAME}
            Account holder :  {ACC_OWNER}
            Account No. :     {ACC_NUMBER}
            Bank Code:        {ACC_BANKCODE}
            IBAN:             {ACC_IBAN} 
            BIC:              {ACC_BIC}
            When you transfer the money you HAVE TO use the identification number
        {SHORTID}
        as the descriptor and nothing else. Otherwise we cannot match your transaction!"
"HP_LEGALNOTE_BILLSAFE","Please remit the outstanding amount {DAYS} days after you have been notified about shipping."

"HP_BARPAY_INFO","Sicher, schnell und ohne Geb&uuml;hren: mit BarPay zahlen Sie Internet-Eink&auml;ufe mit Bargeld. Ohne Anmeldung. Ohne Kreditkarte. Ohne Kontodetails.<br><br>Nach Auswahl von BarPay &uuml;bermittelt Ihnen Ihr Online-H&auml;ndler einen individuellen Barcode per E-Mail oder zum Download auf Ihren Computer. Diesen k&ouml;nnen Sie ausdrucken und in &uuml;ber 18.000 BarPay-Akzeptanzstellen bezahlen. Der Zahlungseingang wird dem Online-H&auml;ndler in Echtzeit &uuml;bermittelt, und die bestellte Ware geht umgehend in den Versand. <br><br>"
"HP_BARPAY_DOWNLOAD","<a href='{LINK}' target='_blank'>Klicken Sie hier um Ihren Barcode runterzuladen</a><br><br>Drucken Sie den Barcode aus oder speichern Sie diesen auf Ihrem mobilen Endger&auml;t. Gehen Sie nun zu einer Kasse der <b>18.000 Akzeptanzstellen in Deutschland</b> und bezahlen Sie ganz einfach in bar. <br><br>In dem Augenblick, wenn der Rechnungsbetrag beglichen wird, erh&auml;lt der Online-H&auml;ndler die Information &uuml;ber den Zahlungseingang. Die bestellte Ware oder Dienstleistung geht umgehend in den Versand."

"You need to pay with giropay before using direct debit.","You need to pay with giropay before using direct debit."
"You need to pay with direct e-banking before using direct debit.","You need to pay with direct e-banking before using direct debit."
"You need to pay with giropay or direct e-banking before using direct debit.","You need to pay with giropay or direct e-banking before using direct debit."

"HP_PNO_ERROR","The choosen payment method is temporary not available. Please choose another one."

"Account & Bank no.","Account & Bank no."
"IBAN & BIC","IBAN & BIC"
"both with selector","both with selector"

"Account information","Account information"
"Account no. & Bank no.","Account no. & Bank no."
"IBAN & BIC","IBAN & BIC"
"Direct Debit data not correct or incomplete","Direct Debit data not correct or incomplete"
